senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Kyrsten Sinema,RepSinema,"",53,2,3.77,2,3.77,1.0,"[""https://twitter.com/RepSinema/status/875388591693860866"", ""https://twitter.com/RepSinema/status/874067924507664384""]","[""https://twitter.com/RepSinema/status/876113421325918209"", ""https://twitter.com/RepSinema/status/874638359645351936""]"
Eric Swalwell,RepSwalwell,"",30,4,13.33,8,26.67,0.5,"[""https://twitter.com/RepSwalwell/status/875775572550361088"", ""https://twitter.com/RepSwalwell/status/875454274683187200"", ""https://twitter.com/RepSwalwell/status/874602850172755969"", ""https://twitter.com/RepSwalwell/status/874281885211344896""]","[""https://twitter.com/RepSwalwell/status/875707007508131840"", ""https://twitter.com/RepSwalwell/status/874947856423059456"", ""https://twitter.com/RepSwalwell/status/874758977917210630"", ""https://twitter.com/RepSwalwell/status/874752140304056321"", ""https://twitter.com/RepSwalwell/status/874702784846848001"", ""https://twitter.com/RepSwalwell/status/874688949570109440"", ""https://twitter.com/RepSwalwell/status/874681082159013890"", ""https://twitter.com/RepSwalwell/status/874424845827809282""]"
Darren Soto,RepDarrenSoto,"",21,2,9.52,0,0.0,0.0,"[""https://twitter.com/RepDarrenSoto/status/875405236948611074"", ""https://twitter.com/RepDarrenSoto/status/875329922629238784""]",[]
Thomas R. Suozzi,RepTomSuozzi,"",11,1,9.09,1,9.09,1.0,"[""https://twitter.com/RepTomSuozzi/status/875451251206397952""]","[""https://twitter.com/RepTomSuozzi/status/874683502767243264""]"
Bennie G. Thompson,BennieGThompson,"",1,0,0.0,0,0.0,0.0,[],[]
Mike Thompson,RepThompson,"",14,2,14.29,1,7.14,2.0,"[""https://twitter.com/RepThompson/status/875371369575452672"", ""https://twitter.com/RepThompson/status/874639521748484096""]","[""https://twitter.com/RepThompson/status/874768917297856512""]"
Niki Tsongas,NikiInTheHouse,"",10,2,20.0,0,0.0,0.0,"[""https://twitter.com/nikiinthehouse/status/874312897928851457"", ""https://twitter.com/nikiinthehouse/status/874282593788801033""]",[]
Dina Titus,RepDinaTitus,"",68,10,14.71,4,5.88,2.5,"[""https://twitter.com/repdinatitus/status/876071950405259268"", ""https://twitter.com/repdinatitus/status/875927520859828229"", ""https://twitter.com/repdinatitus/status/875859539979055104"", ""https://twitter.com/repdinatitus/status/875693965714042880"", ""https://twitter.com/repdinatitus/status/875406898929033216"", ""https://twitter.com/repdinatitus/status/875118951050727424"", ""https://twitter.com/repdinatitus/status/875054979068907520"", ""https://twitter.com/repdinatitus/status/874678610698924033"", ""https://twitter.com/repdinatitus/status/874618877656928257"", ""https://twitter.com/repdinatitus/status/874298401130786816""]","[""https://twitter.com/repdinatitus/status/874744275099168768"", ""https://twitter.com/repdinatitus/status/874683533457055744"", ""https://twitter.com/repdinatitus/status/874656922116521984"", ""https://twitter.com/repdinatitus/status/874634353501982720""]"
Paul Tonko,RepPaulTonko,"",14,3,21.43,0,0.0,0.0,"[""https://twitter.com/RepPaulTonko/status/875424726054834176"", ""https://twitter.com/RepPaulTonko/status/874758074233389056"", ""https://twitter.com/RepPaulTonko/status/874661959521718272""]",[]
Mark Takano,RepMarkTakano,"",10,2,20.0,0,0.0,0.0,"[""https://twitter.com/RepMarkTakano/status/875742015681646593"", ""https://twitter.com/RepMarkTakano/status/875368829991485445""]",[]
Norma J. Torres,NormaJTorres,"",28,6,21.43,2,7.14,3.0,"[""https://twitter.com/NormaJTorres/status/876114176606744577"", ""https://twitter.com/NormaJTorres/status/875845853520547841"", ""https://twitter.com/NormaJTorres/status/875458964955291649"", ""https://twitter.com/NormaJTorres/status/875180937046306816"", ""https://twitter.com/NormaJTorres/status/874752057311449090"", ""https://twitter.com/NormaJTorres/status/874742859299205120""]","[""https://twitter.com/NormaJTorres/status/874742859299205120"", ""https://twitter.com/NormaJTorres/status/874396608603009025""]"
Nydia M. Velázquez,NydiaVelazquez,"",54,8,14.81,1,1.85,8.0,"[""https://twitter.com/NydiaVelazquez/status/875793349780819969"", ""https://twitter.com/NydiaVelazquez/status/875431967990308864"", ""https://twitter.com/NydiaVelazquez/status/875412347610963968"", ""https://twitter.com/NydiaVelazquez/status/874693355506212864"", ""https://twitter.com/NydiaVelazquez/status/874663152406773762"", ""https://twitter.com/NydiaVelazquez/status/874334487659724800"", ""https://twitter.com/NydiaVelazquez/status/874276744664055813"", ""https://twitter.com/NydiaVelazquez/status/874265607600050176""]","[""https://twitter.com/NydiaVelazquez/status/875778251351883777""]"
Peter J. Visclosky,RepVisclosky,"",1,0,0.0,0,0.0,0.0,[],[]
Juan Vargas,RepJuanVargas,"",14,5,35.71,0,0.0,0.0,"[""https://twitter.com/RepJuanVargas/status/875788503715651584"", ""https://twitter.com/RepJuanVargas/status/875437621819961344"", ""https://twitter.com/RepJuanVargas/status/875427722088075265"", ""https://twitter.com/RepJuanVargas/status/875414663390998528"", ""https://twitter.com/RepJuanVargas/status/875414614753898497""]",[]
Marc A. Veasey,RepVeasey,"",12,3,25.0,0,0.0,0.0,"[""https://twitter.com/RepVeasey/status/875414457484275714"", ""https://twitter.com/RepVeasey/status/874633763887644672"", ""https://twitter.com/RepVeasey/status/874620183943446528""]",[]
Filemon Vela,RepFilemonVela,"",4,0,0.0,0,0.0,0.0,[],[]
Maxine Waters,MaxineWaters,"",6,1,16.67,1,16.67,1.0,"[""https://twitter.com/MaxineWaters/status/875424569414340608""]","[""https://twitter.com/MaxineWaters/status/873707345326612483""]"
Debbie Wasserman Schultz,RepDWStweets,"",14,5,35.71,0,0.0,0.0,"[""https://twitter.com/RepDWStweets/status/875444567729774592"", ""https://twitter.com/RepDWStweets/status/875418170412212225"", ""https://twitter.com/RepDWStweets/status/875406056570204160"", ""https://twitter.com/RepDWStweets/status/874720967406366724"", ""https://twitter.com/RepDWStweets/status/874678115360018433""]",[]
Timothy J. Walz,RepTimWalz,"",44,4,9.09,2,4.55,2.0,"[""https://twitter.com/RepTimWalz/status/875760549845512193"", ""https://twitter.com/RepTimWalz/status/875371898292412416"", ""https://twitter.com/RepTimWalz/status/874748427946655744"", ""https://twitter.com/RepTimWalz/status/874042506366812161""]","[""https://twitter.com/RepTimWalz/status/875139458068172800"", ""https://twitter.com/RepTimWalz/status/874794359471972353""]"
Peter Welch,PeterWelch,"",16,3,18.75,0,0.0,0.0,"[""https://twitter.com/PeterWelch/status/874677640845815809"", ""https://twitter.com/PeterWelch/status/874650751150292993"", ""https://twitter.com/PeterWelch/status/874284259669942273""]",[]
Frederica S. Wilson,RepWilson,"",9,0,0.0,1,11.11,0.0,[],"[""https://twitter.com/RepWilson/status/874728405949960192""]"
Bonnie Watson Coleman,RepBonnie,"",18,3,16.67,1,5.56,3.0,"[""https://twitter.com/RepBonnie/status/875770545626898438"", ""https://twitter.com/RepBonnie/status/875401425114861568"", ""https://twitter.com/RepBonnie/status/874270376821350404""]","[""https://twitter.com/RepBonnie/status/874700026471215106""]"
John A. Yarmuth,RepJohnYarmuth,"",12,2,16.67,0,0.0,0.0,"[""https://twitter.com/RepJohnYarmuth/status/875416215375802368"", ""https://twitter.com/RepJohnYarmuth/status/874641943187390464""]",[]
