senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Edward J. Markey,SenMarkey,EdMarkey,51,12,23.53,6,11.76,2.0,"[""https://twitter.com/SenMarkey/status/875462132954939392"", ""https://twitter.com/SenMarkey/status/875372573273587713"", ""https://twitter.com/SenMarkey/status/875370330898001920"", ""https://twitter.com/SenMarkey/status/875367067817562112"", ""https://twitter.com/SenMarkey/status/875111859422019584"", ""https://twitter.com/SenMarkey/status/875106835442696192"", ""https://twitter.com/SenMarkey/status/875099595843526657"", ""https://twitter.com/SenMarkey/status/875088526911696896"", ""https://twitter.com/SenMarkey/status/874671208096071680"", ""https://twitter.com/SenMarkey/status/874662266318327809"", ""https://twitter.com/SenMarkey/status/873265761850142720"", ""https://twitter.com/SenMarkey/status/873249989992087554""]","[""https://twitter.com/SenMarkey/status/874757100609691649"", ""https://twitter.com/SenMarkey/status/873261600173690882"", ""https://twitter.com/SenMarkey/status/873258779655245824"", ""https://twitter.com/SenMarkey/status/873254784878379008"", ""https://twitter.com/SenMarkey/status/873244353627664384"", ""https://twitter.com/SenMarkey/status/873170146734592000""]"
Robert Menendez,SenatorMenendez,Menendez4NJ,80,1,1.25,1,1.25,1.0,"[""https://twitter.com/SenatorMenendez/status/875458479074529282""]","[""https://twitter.com/SenatorMenendez/status/875062836946501632""]"
Patty Murray,PattyMurray,MurrayCampaign,22,16,72.73,0,0.0,0.0,"[""https://twitter.com/PattyMurray/status/875425820126433281"", ""https://twitter.com/PattyMurray/status/875409782890475520"", ""https://twitter.com/PattyMurray/status/875398112734572545"", ""https://twitter.com/PattyMurray/status/874718633330712578"", ""https://twitter.com/PattyMurray/status/874710473916039169"", ""https://twitter.com/PattyMurray/status/874706473141624834"", ""https://twitter.com/PattyMurray/status/874692800264253440"", ""https://twitter.com/PattyMurray/status/874685604654657536"", ""https://twitter.com/PattyMurray/status/874681478852030466"", ""https://twitter.com/PattyMurray/status/874670463938695169"", ""https://twitter.com/PattyMurray/status/874660882927812608"", ""https://twitter.com/PattyMurray/status/874645051430891524"", ""https://twitter.com/PattyMurray/status/874427601259028480"", ""https://twitter.com/PattyMurray/status/874418897633632256"", ""https://twitter.com/PattyMurray/status/874417515744694274"", ""https://twitter.com/PattyMurray/status/873223970232913920""]",[]
Christopher Murphy,SenMurphyOffice,ChrisMurphyCT,58,11,18.97,5,8.62,2.2,"[""https://twitter.com/SenMurphyOffice/status/874682924989374465"", ""https://twitter.com/ChrisMurphyCT/status/875446301042900992"", ""https://twitter.com/ChrisMurphyCT/status/875108016009424896"", ""https://twitter.com/ChrisMurphyCT/status/874816075522859008"", ""https://twitter.com/ChrisMurphyCT/status/874681083295563777"", ""https://twitter.com/ChrisMurphyCT/status/874639806130774017"", ""https://twitter.com/ChrisMurphyCT/status/874621693741981696"", ""https://twitter.com/ChrisMurphyCT/status/873623638108405760"", ""https://twitter.com/ChrisMurphyCT/status/873590400279334912"", ""https://twitter.com/ChrisMurphyCT/status/873517620439502848"", ""https://twitter.com/ChrisMurphyCT/status/873149534372868096""]","[""https://twitter.com/SenMurphyOffice/status/875071081849212928"", ""https://twitter.com/ChrisMurphyCT/status/874740296130670592"", ""https://twitter.com/ChrisMurphyCT/status/874621693741981696"", ""https://twitter.com/ChrisMurphyCT/status/874230956827308033"", ""https://twitter.com/ChrisMurphyCT/status/873980913448886272""]"
Claire McCaskill,McCaskillOffice,clairecmc,33,4,12.12,0,0.0,0.0,"[""https://twitter.com/McCaskillOffice/status/873651015500922880"", ""https://twitter.com/McCaskillOffice/status/873599247131836417"", ""https://twitter.com/clairecmc/status/874664307384094725"", ""https://twitter.com/clairecmc/status/873003829146656769""]",[]
Jeff Merkley,SenJeffMerkley,"",42,15,35.71,2,4.76,7.5,"[""https://twitter.com/SenJeffMerkley/status/875467520341409793"", ""https://twitter.com/SenJeffMerkley/status/875444733220450306"", ""https://twitter.com/SenJeffMerkley/status/875443962525491205"", ""https://twitter.com/SenJeffMerkley/status/875437132873056256"", ""https://twitter.com/SenJeffMerkley/status/875434340120965120"", ""https://twitter.com/SenJeffMerkley/status/875412058619203585"", ""https://twitter.com/SenJeffMerkley/status/875363257749524481"", ""https://twitter.com/SenJeffMerkley/status/874780263108288512"", ""https://twitter.com/SenJeffMerkley/status/874771354683310080"", ""https://twitter.com/SenJeffMerkley/status/874688409029234688"", ""https://twitter.com/SenJeffMerkley/status/874657631578836999"", ""https://twitter.com/SenJeffMerkley/status/874574572204560384"", ""https://twitter.com/SenJeffMerkley/status/874403112110444544"", ""https://twitter.com/SenJeffMerkley/status/873273446284832774"", ""https://twitter.com/SenJeffMerkley/status/873231881243897860""]","[""https://twitter.com/SenJeffMerkley/status/874775381982797825"", ""https://twitter.com/SenJeffMerkley/status/874384721672892416""]"
"Joe Manchin, III",Sen_JoeManchin,"",14,1,7.14,1,7.14,1.0,"[""https://twitter.com/Sen_JoeManchin/status/874735273166483457""]","[""https://twitter.com/Sen_JoeManchin/status/873283582084526081""]"
Bill Nelson,SenBillNelson,"",2,0,0.0,0,0.0,0.0,[],[]
Gary C. Peters,SenGaryPeters,Peters4Michigan,18,2,11.11,1,5.56,2.0,"[""https://twitter.com/SenGaryPeters/status/874381348374540288"", ""https://twitter.com/Peters4Michigan/status/875463683320590336""]","[""https://twitter.com/SenGaryPeters/status/875464686052884480""]"
Jack Reed,SenJackReed,"",29,4,13.79,6,20.69,0.6667,"[""https://twitter.com/SenJackReed/status/875442275622375426"", ""https://twitter.com/SenJackReed/status/874417615049027584"", ""https://twitter.com/SenJackReed/status/873300204367351808"", ""https://twitter.com/SenJackReed/status/873299282836819969""]","[""https://twitter.com/SenJackReed/status/875107814141808641"", ""https://twitter.com/SenJackReed/status/874788602626048014"", ""https://twitter.com/SenJackReed/status/874698449798782976"", ""https://twitter.com/SenJackReed/status/874417003657928705"", ""https://twitter.com/SenJackReed/status/873291113414766593"", ""https://twitter.com/SenJackReed/status/873256446024183811""]"
