senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Darrell E. Issa,DarrellIssa,"",19,3,15.79,0,0.0,0.0,"[""https://twitter.com/DarrellIssa/status/874736911163764738"", ""https://twitter.com/DarrellIssa/status/874328595350646785"", ""https://twitter.com/DarrellIssa/status/874312290862075904""]",[]
Sam Johnson,SamsPressShop,"",1,0,0.0,0,0.0,0.0,[],[]
Walter B. Jones,RepWalterJones,"",9,1,11.11,0,0.0,0.0,"[""https://twitter.com/RepWalterJones/status/875782540119785472""]",[]
Jim Jordan,Jim_Jordan,"",5,2,40.0,0,0.0,0.0,"[""https://twitter.com/Jim_Jordan/status/874636342554218496"", ""https://twitter.com/Jim_Jordan/status/874633113388896258""]",[]
Lynn Jenkins,RepLynnJenkins,"",8,2,25.0,0,0.0,0.0,"[""https://twitter.com/RepLynnJenkins/status/875766087681544193"", ""https://twitter.com/RepLynnJenkins/status/874635635562340352""]",[]
Bill Johnson,RepBillJohnson,"",17,0,0.0,0,0.0,0.0,[],[]
David P. Joyce,RepDaveJoyce,"",13,2,15.38,0,0.0,0.0,"[""https://twitter.com/RepDaveJoyce/status/875431461276528640"", ""https://twitter.com/RepDaveJoyce/status/874739358317916160""]",[]
Evan H. Jenkins,RepEvanJenkins,"",24,1,4.17,0,0.0,0.0,"[""https://twitter.com/RepEvanJenkins/status/873982048956026881""]",[]
Mike Johnson,RepMikeJohnson,"",16,1,6.25,0,0.0,0.0,"[""https://twitter.com/RepMikeJohnson/status/874726054434402304""]",[]
Peter T. King,RepPeteKing,"",2,1,50.0,1,50.0,1.0,"[""https://twitter.com/RepPeteKing/status/874991014678867968""]","[""https://twitter.com/RepPeteKing/status/874746873822810113""]"
Steve King,SteveKingIA,"",5,1,20.0,1,20.0,1.0,"[""https://twitter.com/SteveKingIA/status/874004598989705223""]","[""https://twitter.com/SteveKingIA/status/874626231999901698""]"
Mike Kelly,MikeKellyPA,"",11,1,9.09,0,0.0,0.0,"[""https://twitter.com/MikeKellyPA/status/874292406639878144""]",[]
Adam Kinzinger,RepKinzinger,"",48,2,4.17,5,10.42,0.4,"[""https://twitter.com/RepKinzinger/status/875749058005970944"", ""https://twitter.com/RepKinzinger/status/874840347955908609""]","[""https://twitter.com/RepKinzinger/status/875429057944576002"", ""https://twitter.com/RepKinzinger/status/875422636871954434"", ""https://twitter.com/RepKinzinger/status/874642370691817472"", ""https://twitter.com/RepKinzinger/status/874612455112134656"", ""https://twitter.com/RepKinzinger/status/874264836686979072""]"
John Katko,RepJohnKatko,"",5,1,20.0,0,0.0,0.0,"[""https://twitter.com/RepJohnKatko/status/875475467230433280""]",[]
Stephen Knight,SteveKnight25,"",9,0,0.0,1,11.11,0.0,[],"[""https://twitter.com/SteveKnight25/status/874703012400427008""]"
Trent Kelly,reptrentkelly,"",12,0,0.0,0,0.0,0.0,[],[]
David Kustoff,repdavidkustoff,"",7,1,14.29,0,0.0,0.0,"[""https://twitter.com/repdavidkustoff/status/874742533791907841""]",[]
Frank D. Lucas,RepFrankLucas,"",2,0,0.0,0,0.0,0.0,[],[]
Frank A. LoBiondo,RepLoBiondo,"",21,1,4.76,2,9.52,0.5,"[""https://twitter.com/RepLoBiondo/status/874258962295783424""]","[""https://twitter.com/RepLoBiondo/status/875685074812928001"", ""https://twitter.com/RepLoBiondo/status/874670324503195649""]"
Doug Lamborn,RepDLamborn,"",29,4,13.79,0,0.0,0.0,"[""https://twitter.com/RepDLamborn/status/875719871610441729"", ""https://twitter.com/RepDLamborn/status/875467050801651713"", ""https://twitter.com/RepDLamborn/status/875367494164369409"", ""https://twitter.com/RepDLamborn/status/874755554605924354""]",[]
Robert E. Latta,BobLatta,"",15,3,20.0,0,0.0,0.0,"[""https://twitter.com/boblatta/status/874984641350033408"", ""https://twitter.com/boblatta/status/874758212133801984"", ""https://twitter.com/boblatta/status/874615037335351296""]",[]
Leonard Lance,RepLanceNJ7,"",7,1,14.29,1,14.29,1.0,"[""https://twitter.com/RepLanceNJ7/status/874636130678968320""]","[""https://twitter.com/RepLanceNJ7/status/874286328887857152""]"
Blaine Luetkemeyer,RepBlainePress,"",7,1,14.29,0,0.0,0.0,"[""https://twitter.com/RepBlainePress/status/874320705554452482""]",[]
Raúl R. Labrador,Raul_Labrador,"",7,0,0.0,0,0.0,0.0,[],[]
Billy Long,USRepLong,"",10,0,0.0,0,0.0,0.0,[],[]
Doug LaMalfa,RepLaMalfa,"",1,0,0.0,0,0.0,0.0,[],[]
Barry Loudermilk,RepLoudermilk,"",15,0,0.0,0,0.0,0.0,[],[]
Mia B. Love,repmialove,"",16,0,0.0,0,0.0,0.0,[],[]
Darin LaHood,RepLaHood,"",7,0,0.0,0,0.0,0.0,[],[]
Jason Lewis,RepJasonLewis,"",11,0,0.0,0,0.0,0.0,[],[]
Tim Murphy,RepTimMurphy,"",10,4,40.0,0,0.0,0.0,"[""https://twitter.com/RepTimMurphy/status/875402056437305345"", ""https://twitter.com/RepTimMurphy/status/874762815910936576"", ""https://twitter.com/RepTimMurphy/status/874366950616465408"", ""https://twitter.com/RepTimMurphy/status/874337847477665793""]",[]
Patrick T. McHenry,PatrickMcHenry,"",18,4,22.22,0,0.0,0.0,"[""https://twitter.com/PatrickMcHenry/status/874755007685419008"", ""https://twitter.com/PatrickMcHenry/status/874732988185137158"", ""https://twitter.com/PatrickMcHenry/status/874684306744127490"", ""https://twitter.com/PatrickMcHenry/status/874644220144955393""]",[]
Michael T. McCaul,RepMcCaul,"",11,0,0.0,0,0.0,0.0,[],[]
Kenny Marchant,RepKenMarchant,"",5,0,0.0,0,0.0,0.0,[],[]
Cathy McMorris Rodgers,CathyMcMorris,"",36,6,16.67,0,0.0,0.0,"[""https://twitter.com/cathymcmorris/status/876191724317491201"", ""https://twitter.com/cathymcmorris/status/876146426253688832"", ""https://twitter.com/cathymcmorris/status/875444814229024768"", ""https://twitter.com/cathymcmorris/status/874727389472993280"", ""https://twitter.com/cathymcmorris/status/873996259933204480"", ""https://twitter.com/cathymcmorris/status/873959767345045504""]",[]
Kevin McCarthy,GOPLeader,"",24,1,4.17,0,0.0,0.0,"[""https://twitter.com/GOPLeader/status/874648127042707456""]",[]
Tom McClintock,RepMcClintock,"",0,0,0.0,0,0.0,0.0,[],[]
Tom Marino,RepTomMarino,"",1,1,100.0,0,0.0,0.0,"[""https://twitter.com/RepTomMarino/status/874675901170102273""]",[]
David B. McKinley,RepMcKinley,"",21,4,19.05,0,0.0,0.0,"[""https://twitter.com/RepMcKinley/status/875407914319712256"", ""https://twitter.com/RepMcKinley/status/874749052507877376"", ""https://twitter.com/RepMcKinley/status/874741031606116353"", ""https://twitter.com/RepMcKinley/status/874372194725507072""]",[]
Patrick Meehan,RepMeehan,"",23,4,17.39,0,0.0,0.0,"[""https://twitter.com/RepMeehan/status/874732269902155777"", ""https://twitter.com/RepMeehan/status/874615474797019136"", ""https://twitter.com/RepMeehan/status/874358999449251840"", ""https://twitter.com/RepMeehan/status/874333732483866627""]",[]
Thomas Massie,RepThomasMassie,"",3,0,0.0,0,0.0,0.0,[],[]
Mark Meadows,RepMarkMeadows,"",11,0,0.0,0,0.0,0.0,[],[]
Luke Messer,RepLukeMesser,"",7,1,14.29,0,0.0,0.0,"[""https://twitter.com/RepLukeMesser/status/874740039498047488""]",[]
